,name,degree_all,degree_in,degree_out,clustering_coefficient,clustering_coefficient_weighted,degree_centrality_all,degree_centrality_in,degree_centrality_out,betweenness_centrality,closeness_centrality,eigenvector_centrality,page_rank,assortative_coefficient,average_path_length,community_random_walk,module,connectivity,participation,role,cluster
AT2G40470,LBD15,119,21,98,0.0660874519299245,0.0873793303438987,0.0660377358490566,0.01165371809101,0.0543840177580466,12189,7.092237954575741e-07,0.21940041824643103,0.000589956794559134,-0.170983923257697,2.98236173879117,1,3,2.9196441288850803,0.434217254730076,Connector Hub,Maturation_Xylem
AT1G71930,NAC030,115,24,91,0.0857360793287567,0.128275611587952,0.0638179800221976,0.0133185349611543,0.0504994450610433,3429,7.092224343809509e-07,0.415192998680289,0.000567547967283266,-0.170983923257697,2.98236173879117,1,3,1.9549911076821798,0.574025755407794,Peripheral,Maturation_Xylem
AT5G67580,TRB2,77,5,72,0.0252904989747095,0.0253699132830477,0.0427302996670366,0.0027746947835738103,0.0399556048834628,2859,7.092245569472159e-07,0.0763485655661943,0.00041087783881903103,-0.170983923257697,2.98236173879117,1,3,0.654806600843491,0.658240997229917,Connector,Maturation_Xylem
AT2G24570,WRKY17,90,10,80,0.0556803995006242,0.0567347479748342,0.0499445061043285,0.00554938956714761,0.0443951165371809,8893,7.092259175804859e-07,0.102355197555653,0.000430664656354153,-0.170983923257697,2.98236173879117,1,3,1.45169387922849,0.5712809917355369,Peripheral,Maturation_Xylem
AT3G06590,BHLH148,9,0,9,0.0,0.0,0.00499445061043285,0.0,0.00499445061043285,0,3.09331353796039e-07,0.0489630771244047,0.000391882552817576,-0.170983923257697,2.98236173879117,1,7,-0.339369566710706,0.19753086419753102,Peripheral,Maturation_Xylem
AT2G16720,MYB7,140,40,100,0.071120246659815,0.0868870495978085,0.0776914539400666,0.0221975582685905,0.0554938956714761,14189,7.092259089761579e-07,0.21648964043396202,0.000809056376464419,-0.170983923257697,2.98236173879117,1,3,2.6679955146582404,0.568663494809689,Connector Hub,Maturation_Xylem
AT1G01720,NAC002,133,11,122,0.0430622009569378,0.055374788500865996,0.0738068812430633,0.00610432852386238,0.0677025527192009,10028,7.09227435643949e-07,0.146301129533817,0.0005470074155881111,-0.170983923257697,2.98236173879117,1,2,4.11344281499987,0.6039281997918841,Connector Hub,Maturation_Xylem
AT4G32880,ATHB-8,58,0,58,0.0,0.0,0.0321864594894562,0.0,0.0321864594894562,0,3.18022336676691e-07,0.10467163403716902,0.000391882552817576,-0.170983923257697,2.98236173879117,1,7,2.2203213528374,0.41319857312722896,Peripheral,Maturation_Xylem
AT1G19850,ARF5,109,0,109,0.036697247706422007,0.0362151050233608,0.060488346281909,0.0,0.060488346281909,0,7.14708729656717e-07,0.16272797502157402,0.000391882552817576,-0.170983923257697,2.98236173879117,1,7,3.02479564183823,0.635131722918946,Connector Hub,Maturation_Xylem
AT1G51600,GATA28,109,7,102,0.0331294597349643,0.031692042244082994,0.060488346281909,0.00388457269700333,0.0566037735849057,4484,7.0922591797729e-07,0.15674010908933803,0.00042555922723789397,-0.170983923257697,2.98236173879117,1,3,1.78722536486428,0.598765432098766,Peripheral,Maturation_Xylem
AT1G25550,HHO3,110,0,110,0.0170141784820684,0.0155522711507077,0.0610432852386237,0.0,0.0610432852386237,0,7.137912946020709e-07,0.0881986804009083,0.000391882552817576,-0.170983923257697,2.98236173879117,1,2,2.64724686025207,0.650082644628099,Connector Hub,Maturation_Xylem
AT5G17300,RVE1,144,0,144,0.0276806526806527,0.0258484594799324,0.0799112097669256,0.0,0.0799112097669256,0,7.11047482876502e-07,0.19281995949612699,0.000391882552817576,-0.170983923257697,2.98236173879117,1,2,3.6002742308381404,0.6399498456790121,Connector Hub,Maturation_Xylem
