,name,degree_all,degree_in,degree_out,clustering_coefficient,clustering_coefficient_weighted,degree_centrality_all,degree_centrality_in,degree_centrality_out,betweenness_centrality,closeness_centrality,eigenvector_centrality,page_rank,assortative_coefficient,average_path_length,community_random_walk,module,connectivity,participation,role,cluster
AT2G03500,EFM,2,0,2,0.0,0.0,0.000896458987001345,0.0,0.000896458987001345,0,2.00999852924255e-07,0.00234629154351314,0.000340682712795526,-0.20193775556896,3.67023853785492,163,3,-0.8320066566005,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT3G42860,AT3G42860,1,0,1,0.0,0.0,0.000448229493500672,0.0,0.000448229493500672,0,2.00909718816166e-07,0.00048287544871841904,0.000340682712795526,-0.20193775556896,3.67023853785492,164,3,-0.914380996592915,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT2G22750,AT2G22750,4,0,4,0.0,0.0,0.00179291797400269,0.0,0.00179291797400269,0,2.0118036405329002e-07,0.0032786050542099,0.000340682712795526,-0.20193775556896,3.67023853785492,165,2,-0.581546249171511,0.375,Peripheral,Proliferation Domain_Cortex
AT4G29230,anac075,1,0,1,0.0,0.0,0.000448229493500672,0.0,0.000448229493500672,0,2.00909718817964e-07,0.000956540294130893,0.000340682712795526,-0.20193775556896,3.67023853785492,166,3,-0.914380996592915,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT1G01010,NAC001,1,0,1,0.0,0.0,0.000448229493500672,0.0,0.000448229493500672,0,2.00909718819138e-07,0.000517331029917042,0.000340682712795526,-0.20193775556896,3.67023853785492,167,3,-0.914380996592915,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT1G30490,ATHB-9,2,0,2,0.0,0.0,0.000896458987001345,0.0,0.000896458987001345,0,2.0099985297529603e-07,0.0021785460346214697,0.000340682712795526,-0.20193775556896,3.67023853785492,168,3,-0.8320066566005,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT4G25560,LAF1,1,0,1,0.0,0.0,0.000448229493500672,0.0,0.000448229493500672,0,2.00909718819935e-07,0.00100449320382675,0.000340682712795526,-0.20193775556896,3.67023853785492,169,3,-0.914380996592915,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT1G27360,SPL11,1,0,1,0.0,0.0,0.000448229493500672,0.0,0.000448229493500672,0,2.0090971882149602e-07,0.000353191600805618,0.000340682712795526,-0.20193775556896,3.67023853785492,170,3,-0.914380996592915,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT2G42400,VOZ2,2,0,2,0.0,0.0,0.000896458987001345,0.0,0.000896458987001345,0,2.0099985291233602e-07,0.0021934876488209198,0.000340682712795526,-0.20193775556896,3.67023853785492,171,1,-0.36967919623206397,0.5,Peripheral,Proliferation Domain_Cortex
AT2G46410,CPC,3,1,2,0.33333333333333304,0.336095489961607,0.0013446884805020198,0.000448229493500672,0.000896458987001345,175,4.3624108221908597e-07,0.00383238833451341,0.00034174261544155896,-0.20193775556896,3.67023853785492,60,2,-0.6411886423964821,0.444444444444445,Peripheral,Proliferation Domain_Cortex
